,date,ISE,ISE_TL_Based,SP,DAX,FTSE,NIKKEI,BOVESPA,EU,EM,Zeros,Label
1,2009-01-05,0.035753708,0.038376187,-0.004679315,0.002193419,0.003894376,0.0,0.031190229,0.012698039,0.028524462,3.8376186999999997,1
2,2009-01-06,0.025425873,0.031812743,0.007786738,0.008455341,0.012865611,0.004162452,0.01891958,0.011340652,0.008772644,3.1812742999999997,9
3,2009-01-07,-0.02886173,-0.026352966,-0.030469134,-0.017833062,-0.028734593,0.017292932,-0.035898576,-0.017072795,-0.020015412,-2.6352965999999998,3
4,2009-01-08,-0.062208079,-0.084715902,0.003391364,-0.011726277,-0.000465999,-0.040061309,0.028283152,-0.005560959,-0.019423778,-8.4715902,7
5,2009-01-09,0.009859905,0.009658112,-0.021533208,-0.019872754,-0.012709717,-0.004473502,-0.00976388,-0.010988634,-0.007802212,0.9658112,7
6,2009-01-12,-0.029191028,-0.042361155,-0.022822626,-0.013525735,-0.005025533,-0.049038532,-0.053849474,-0.012451259,-0.022629745,-4.2361154999999995,2
7,2009-01-13,0.015445348,-0.000272183,0.001756552,-0.017673622,-0.006141454,0.0,0.00357202,-0.012220196,-0.004827138,-0.0272183,5
8,2009-01-14,-0.041167612,-0.03555248,-0.034032484,-0.047383437,-0.050945198,0.002912354,-0.040301613,-0.045220199,-0.008676646,-3.5552479999999997,3
9,2009-01-15,0.000661905,-0.017267844,0.001328305,-0.019550621,-0.014334659,-0.050447588,0.030313602,-0.012070424,-0.023428729,-1.7267844,3
10,2009-01-16,0.022037345,0.032278032,0.007533126,0.00679078,0.006289177,0.025453186,0.004866686,0.008560858,0.010916893,3.2278032,8
11,2009-01-19,-0.022692465,-0.044348781,-0.054261984,-0.011549904,-0.009351296,0.003238918,-0.013151015,-0.012045182,-0.004029004,-4.4348781,4
12,2009-01-20,-0.013708704,-0.029661366,0.0,-0.017833593,-0.004170789,-0.023411498,-0.040899261,-0.015088013,-0.024107193,-2.9661366,8
13,2009-01-21,0.000864697,0.00152943,0.042572033,0.005011186,-0.007728867,-0.020561328,0.033532127,-0.003338563,-0.005092242,0.152943,0
14,2009-01-22,-0.00381506,0.005043164,-0.015278458,-0.009841399,-0.001898399,0.018817884,-0.016981713,-0.00655222,-0.003227249,0.5043164,7
15,2009-01-23,0.00566126,-0.010007954,0.005363236,-0.009640052,7.40311e-05,-0.038808465,0.006261036,-0.003620056,-0.008077319,-1.0007954,9
16,2009-01-26,0.046831302,0.061708176,0.005537856,0.034786791,0.037891115,-0.008181598,0.009838156,0.032799581,0.010319685,6.1708176,9
17,2009-01-27,-0.006634978,0.01094866,0.010866312,-0.000797661,-0.003474788,0.048148148,0.00492178,-0.002641806,0.006344498,1.0948660000000001,5
18,2009-01-28,0.034566982,0.03587086,0.033006834,0.044182012,0.023747818,0.005594001,0.038724652,0.0299742,0.022104103,3.5870859999999998,6
19,2009-01-29,-0.020528213,-0.020271848,-0.033681051,-0.020255911,-0.02477352,0.017723189,-0.014750158,-0.023108586,0.000408697,-2.0271847999999997,5
20,2009-01-30,-0.008776701,-0.023458255,-0.02305281,-0.020478765,-0.009712656,-0.031665977,-0.00853829,-0.007201303,0.002242539,-2.3458255,2
21,2009-02-02,-0.025919141,-0.035607494,-0.000532907,-0.015636734,-0.017454317,-0.015133862,-0.016289303,-0.019739294,-0.019091385,-3.5607494,0
22,2009-02-03,0.015279487,0.022402818,0.01570993,0.02404002,0.021038593,-0.006174742,0.027573706,0.017862274,0.012718686,2.2402818,2
23,2009-02-04,0.018577796,0.023230767,-0.007517662,0.026576513,0.015274749,0.026908324,0.009564898,0.018769962,0.015165589,2.3230767,9
24,2009-02-05,-0.014132879,-0.014571381,0.016233194,0.003931905,7.0943e-05,-0.011169331,0.024127811,-0.004139094,0.002072505,-1.4571380999999999,2
25,2009-02-06,0.036607044,0.042758926,0.026540681,0.029305918,0.014787613,0.015845566,0.039282461,0.019126668,0.032338114,4.275892600000001,6
26,2009-02-09,0.011353209,0.021467637,0.001484047,0.004766184,0.003651379,-0.013410689,-0.015461796,0.005627159,0.007895394,2.1467637,5
